pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
28586,27590,0.00238,Milton,13.011,42.2416,-71.0824,milton-ma,MA,5,-71.0824,42.2416,CDP,64,2197
28236,28766,-0.00465,West Springfield Town,16.73,42.1255,-72.6497,west-springfield-town-ma,MA,2,-72.6497,42.1255,City,65,1688
28164,28622,-0.00403,Agawam Town,23.322,42.0639,-72.653,agawam-town-ma,MA,2,-72.653,42.0639,City,66,1208
28035,26072,0.00838,Milford,10.154,42.1507,-71.5178,milford-ma,MA,5,-71.5178,42.1507,CDP,67,2761
27798,27549,-0.00201,Danvers,13.279,42.5742,-70.9505,danvers-ma,MA,5,-70.9505,42.5742,CDP,68,2093
27067,27041,0.00026,Wakefield,7.394,42.5044,-71.0641,wakefield-ma,MA,5,-71.0641,42.5044,CDP,69,3661
26879,26158,-0.00219,Belmont,4.647,42.3953,-71.1803,belmont-ma,MA,5,-71.1803,42.3953,CDP,70,5784
26039,28077,-0.00249,Burlington,11.75,42.5032,-71.2017,burlington-ma,MA,5,-71.2017,42.5032,CDP,71,2216
25410,25068,0.01364,Easton,28.76,42.0392,-71.109,easton-ma,MA,,-71.109,42.0392,Town,72,884
25279,25236,-0.00268,Reading,9.976,42.5352,-71.1054,reading-ma,MA,5,-71.1054,42.5352,CDP,73,2534
25090,24987,0.00412,Yarmouth,24.156,41.6749,-70.226,yarmouth-ma,MA,,-70.226,41.6749,Town,74,1039
24970,25330,-0.00359,Dedham,10.27,42.2469,-71.1795,dedham-ma,MA,5,-71.1795,42.2469,CDP,75,2431
24911,24394,0.02119,Canton,18.746,42.1757,-71.1254,canton-ma,MA,,-71.1254,42.1757,Town,76,1329
24222,24261,-0.00161,Middleborough,69.044,41.878,-70.8693,middleborough-ma,MA,,-70.8693,41.878,Town,77,351
24139,24704,-0.02287,Westford,30.244,42.5855,-71.4402,westford-ma,MA,,-71.4402,42.5855,Town,78,798
23791,23938,-0.00614,Acton,19.867,42.484,-71.4385,acton-ma,MA,,-71.4385,42.484,Town,79,1198
23656,23853,-0.00826,Mansfield,20.104,42.0173,-71.2164,mansfield-ma,MA,,-71.2164,42.0173,Town,80,1177
22992,23390,-0.00429,Wilmington,16.973,42.5646,-71.1645,wilmington-ma,MA,5,-71.1645,42.5646,CDP,81,1355
22858,22760,0.00109,Winchester,6.032,42.4528,-71.1443,winchester-ma,MA,5,-71.1443,42.4528,CDP,82,3789
22822,23625,-0.00371,Stoneham,6.016,42.4742,-71.0977,stoneham-ma,MA,5,-71.0977,42.4742,CDP,83,3794
22819,23275,-0.01959,Wareham,35.822,41.761,-70.7018,wareham-ma,MA,,-70.7018,41.761,Town,84,637
20897,20762,0.0065,Ludlow,27.196,42.1836,-72.4578,ludlow-ma,MA,,-72.4578,42.1836,Town,85,768
20585,21219,-0.00762,Gardner,22.066,42.5842,-71.9887,gardner-ma,MA,2,-71.9887,42.5842,City,86,933
20256,20530,-0.00231,Marblehead,4.379,42.4956,-70.8358,marblehead-ma,MA,5,-70.8358,42.4956,CDP,87,4626
19837,19641,0.00998,Grafton,22.803,42.2092,-71.6836,grafton-ma,MA,,-71.6836,42.2092,Town,88,870
19786,19895,-0.00548,Holden,35.084,42.3558,-71.8626,holden-ma,MA,,-71.8626,42.3558,Town,89,564
19062,19208,-0.0076,Norton,27.833,41.9653,-71.1818,norton-ma,MA,,-71.1818,41.9653,Town,90,685
19020,18304,0.0095,Newburyport,8.35,42.8121,-70.8866,newburyport-ma,MA,2,-70.8866,42.8121,City,91,2278
18773,18872,-0.00525,Sudbury,24.271,42.3834,-71.4211,sudbury-ma,MA,,-71.4211,42.3834,Town,92,773
18256,18160,-0.00027,Somerset,7.898,41.7385,-71.1651,somerset-ma,MA,5,-71.1651,41.7385,CDP,93,2311
18240,18815,-0.03056,Ashland,12.338,42.2578,-71.4735,ashland-ma,MA,,-71.4735,42.2578,Town,94,1478
18031,18344,-0.01706,Pembroke,21.786,42.0678,-70.8057,pembroke-ma,MA,,-70.8057,42.0678,Town,95,828
17824,16282,0.09471,South Hadley,17.713,42.2565,-72.5802,south-hadley-ma,MA,,-72.5802,42.2565,Town,96,1006
17769,19251,-0.0204,Winthrop Town,1.991,42.3755,-70.9706,winthrop-town-ma,MA,2,-70.9706,42.3755,City,97,8925
